reference,value,mpn,description,footprint,pad_count,connected_net_count,connected_nets_sample
CML19,100nF_TBD,,,,2,0,
CML20,100nF_TBD,,,,2,0,
CMR01,100nF_TBD,,,,2,0,
CMR02,100nF_TBD,,,,2,0,
CMR03,100nF_TBD,,,,2,0,
CMR04,100nF_TBD,,,,2,0,
CMR05,100nF_TBD,,,,2,0,
CMR06,100nF_TBD,,,,2,0,
CMR07,100nF_TBD,,,,2,0,
CMR08,100nF_TBD,,,,2,0,
CMR09,100nF_TBD,,,,2,0,
CMR10,100nF_TBD,,,,2,0,
CMR11,100nF_TBD,,,,2,0,
CMR12,100nF_TBD,,,,2,0,
CMR13,100nF_TBD,,,,2,0,
CMR14,100nF_TBD,,,,2,0,
CMR15,100nF_TBD,,,,2,0,
CMR16,100nF_TBD,,,,2,0,
CMR17,100nF_TBD,,,,2,0,
CMR18,100nF_TBD,,,,2,0,
CMR19,100nF_TBD,,,,2,0,
CMR20,100nF_TBD,,,,2,0,
CR01,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_00
CR02,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_01
CR03,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_02
CR04,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_03
CR05,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_04
CR06,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_05
CR07,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_06
CR08,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_07
CR09,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_08
CR10,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_09
CR11,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_10
CR12,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_11
CR13,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_12
CR14,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_13
CR15,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_14
CR16,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_15
CR17,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_16
CR18,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_17
CR19,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_18
CR20,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_19
CR21,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_20
CR22,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_21
CR23,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_22
CR24,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_23
CR25,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_24
CR26,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_25
CR27,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_26
CR28,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_27
CR29,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_28
CR30,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_29
CR31,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_30
CR32,FILTER_MON_TBD,,,,2,1,R_OPT_MONITOR_31
CRP01,BULK_CAP_TBD,,,,2,0,
CRP02,BULK_CAP_TBD,,,,2,0,
CRP03,BULK_CAP_TBD,,,,2,0,
CRP04,BULK_CAP_TBD,,,,2,0,
CRP05,BULK_CAP_TBD,,,,2,0,
CRP06,BULK_CAP_TBD,,,,2,0,
CRP07,BULK_CAP_TBD,,,,2,0,
CRP08,BULK_CAP_TBD,,,,2,0,
CRP09,BULK_CAP_TBD,,,,2,0,
CRP10,BULK_CAP_TBD,,,,2,0,
CRP11,BULK_CAP_TBD,,,,2,0,
CRP12,BULK_CAP_TBD,,,,2,0,
CTFLN1,TFLN_DECOUPLING_TBD,,,,2,0,
CTFLN2,TFLN_DECOUPLING_TBD,,,,2,0,
CTFLN3,TFLN_DECOUPLING_TBD,,,,2,0,
CTFLN4,TFLN_DECOUPLING_TBD,,,,2,0,
CTFLN5,TFLN_DECOUPLING_TBD,,,,2,0,
CTFLN6,TFLN_DECOUPLING_TBD,,,,2,0,
CWDM1,WDM_HEATER_FILTER_TBD,,,,2,0,
CWDM2,WDM_HEATER_FILTER_TBD,,,,2,0,
CWDM3,WDM_HEATER_FILTER_TBD,,,,2,0,
CWDM4,WDM_HEATER_FILTER_TBD,,,,2,0,
DL01,TVS_TBD,,,,2,1,L_OPT_BIAS_00
DL02,TVS_TBD,,,,2,1,L_OPT_BIAS_01
DL03,TVS_TBD,,,,2,1,L_OPT_BIAS_02
DL04,TVS_TBD,,,,2,1,L_OPT_BIAS_03
DL05,TVS_TBD,,,,2,1,L_OPT_BIAS_04
DL06,TVS_TBD,,,,2,1,L_OPT_BIAS_05
DL07,TVS_TBD,,,,2,1,L_OPT_BIAS_06
DL08,TVS_TBD,,,,2,1,L_OPT_BIAS_07
DL09,TVS_TBD,,,,2,1,L_OPT_BIAS_08
DL10,TVS_TBD,,,,2,1,L_OPT_BIAS_09
DL11,TVS_TBD,,,,2,1,L_OPT_BIAS_10
DL12,TVS_TBD,,,,2,1,L_OPT_BIAS_11
DL13,TVS_TBD,,,,2,1,L_OPT_BIAS_12
DL14,TVS_TBD,,,,2,1,L_OPT_BIAS_13
DL15,TVS_TBD,,,,2,1,L_OPT_BIAS_14
DL16,TVS_TBD,,,,2,1,L_OPT_BIAS_15
